additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_prompts,delta_num_regex,delta_num_roles,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_vars,delta_text_entropy,repository
0,0,0,0,15,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,1,meta/main.yml,0,0,2,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,29,1,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,8,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,0,tasks/users.yml,0,0,2,16,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,1,0,2,8,0,0,0,0,0,0,2,55,4,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,6,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,0,tasks/install_yum.yml,0,0,5,29,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,3,11,0,0,0,0,0,0,5,91,8,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,9,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,0,tasks/extensions/contrib.yml,0,0,2,16,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,2,6,0,0,0,0,0,0,2,61,4,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,9,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,1,tasks/databases.yml,0,0,10,79,1,0,0,0,0,8,28,20,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,77,0,9,0,2,11,0,0,0,0,0,0,10,443,12,0,4,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,14,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,0,tasks/users_privileges.yml,0,0,1,14,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,1,0,1,8,0,0,0,0,0,0,1,42,2,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,4,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,0,tasks/monit.yml,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,1,15,1,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,7,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,1,tasks/install.yml,0,0,7,47,3,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,44,0,2,0,1,22,2,0,0,0,0,0,7,140,9,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,2,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,1,tasks/extensions.yml,0,0,1,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
0,0,0,0,5,0,1,0,0,0,f791f2302bddf69a622da9c7e049666c3beeea02,0,2017-07-12 21:30:02-07:00,0,0,0,0,1,tasks/main.yml,0,0,9,24,1,0,0,0,0,0,4,1,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,1,22,0,1,0,0,0,0,0,0,0,0,0,9,67,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANXS/postgresql
